#_	_
button.back	Back
kin.challenge.dicechucker.heroic.description	Monster levels are increased by 3. Whenever a player starts a combat on their turn they roll a die and add the number to their combat strength. Opponents are dirty cheaters and always roll at least a 3 this way.
kin.challenge.neveradullmoment.name	Never a Dull Moment
kin.challenge.neveradullmoment.normal.description	At the start of turn, players draw a non-monster door card face down. Players will ALWAYS draw a Monster when Kicking Open The Door.
kin.challenge.neveradullmoment.heroic.description	At the start of turn, other players draw a non-monster door card face down. Yours will be face up instead (watch out for curses!). Players will ALWAYS draw a Monster when Kicking Open The Door.
kin.challenge.charactersheetconfusion.name	Character Sheet Confusion
kin.challenge.charactersheetconfusion.normal.description	At the start of your turn, you randomly become a different Race, Class, or gender.
kin.challenge.charactersheetconfusion.heroic.description	At the start of your turn, you randomly become a different Race, Class, or gender. Your opponents start at level 3.
kin.challenge.merchantofmenace.name	Merchant of Menace
kin.challenge.merchantofmenace.normal.description	The AI will never refuse a trade if it’s receiving an Item of equal or greater value. Buying level ups costs 500 Gold Pieces more.
kin.challenge.merchantofmenace.heroic.description	The AI will never refuse a trade if it’s receiving an Item of equal or greater value. You cannot sell Items to level up.
kin.challenge.loner.name	Loner
kin.challenge.loner.normal.description	You start with a Rat on a Stick and a Nasty Tasting Sports Drink in play. You cannot Ask For Help from other players this game.
kin.challenge.loner.heroic.description	You start with a Rat on a Stick and a Nasty Tasting Sports Drink in play. You cannot Ask For Help from other players this game. Opponents start out as hostile to you.
kin.challenge.doubletrouble.name	Double Trouble
kin.challenge.doubletrouble.normal.description	All level 1-2 monsters you encounter when Kicking Open The Door appear with a mate.
kin.challenge.doubletrouble.heroic.description	All level 1-4 monsters you encounter when Kicking Open The Door appear with a mate.
kin.challenge.pantslessjuggler.name	Pantsless Juggler
kin.challenge.pantslessjuggler.normal.description	You may carry up to 6 Hands worth of Items but may not equip Footgear or Armor. You start with a random 2-Handed Item in hand in place of one of your Treasures.
kin.challenge.pantslessjuggler.heroic.description	You may carry up to 6 Hands worth of Items but may not equip Footgear or Armor. You start with a random 2-Handed item in hand in place of your Treasures.
kin.challenge.curses.name	Curses!
kin.challenge.curses.normal.description	The deck has two times as many curses in it. You start with a Wishing Ring.
kin.challenge.curses.heroic.description	The deck has two times as many curses in it. Opponents start with Sandals of Protection.
marketing.1	Kill the monsters! Steal the treasure! Stab your buddy!
marketing.2	In partnership with Steve Jackson Games, the iconic tabletop card game Munchkin brings its murderous mischief to digital devices!
marketing.3	Go down to the dungeon. Kick in the door. Kill everything you find. Backstab your friends. Steal the treasure and run.
marketing.4	With millions of copies sold around the world, Munchkin is the mega-hit card game about dungeon adventure...with none of that stupid roleplaying stuff. You and your friends compete to kill monsters and grab magic items. Don the Horny Helmet and the Boots of Butt-Kicking. Wield the Staff of Napalm...or maybe the Chainsaw of Bloody Dismemberment. Start by slaughtering the Potted Plant and the Drooling Slime, and work your way up to the Plutonium Dragon!
marketing.5	Shuffle Up an Adventure!
marketing.6	You're a Munchkin...and Munchkins love treasure! But a stack of pesky monster and Curse cards are between you and your hard-earned loot!
marketing.7	Munchkin is played in a series of rounds using Door cards and Treasure cards to explore a dungeon.
marketing.8	Build a character by combining Race and Class cards, then gear up to face the lurking monsters!
marketing.9	Kill monsters and collect Treasure to level up! The first Munchkin to reach Level 10 wins!
marketing.10	But wait...there's more!
marketing.11	Cross-platform, online multiplayer shenanigans!
marketing.12	Learn the tricks of the adventuring trade in a dungeon-delving tutorial!
marketing.13	Sharpen your blade in Solo Challenges with special rules!
marketing.14	Go looking for trouble in Munchkin. Hey, we're all going to get roasted and eaten sometime.
